"variable" "value" "group" "Succession" "Succession_numeric" "Community"
"85" "CE5" 0.88686614709667 "CE" "Managed" 1 "Fungi"
"86" "CE5" 0.936381136150052 "CE" "Managed" 1 "Fungi"
"87" "CE5" 0.862690251723142 "CE" "Managed" 1 "Fungi"
"88" "CE5" 0.94776510728819 "CE" "Managed" 1 "Fungi"
"89" "CE5" 0.485914002315706 "CE" "Managed" 1 "Fungi"
"90" "CE5" 0.826586730987923 "CE" "Managed" 1 "Fungi"
"91" "CE5" 0.862734843787921 "CE" "Managed" 1 "Fungi"
"92" "CE5" 0.81088031017901 "CE" "Managed" 1 "Fungi"
"93" "CE5" 0.760354505133626 "CE" "Managed" 1 "Fungi"
"94" "CE5" 0.888735817665243 "CE" "Managed" 1 "Fungi"
"95" "CE5" 0.905431647337542 "CE" "Managed" 1 "Fungi"
"96" "CE5" 0.801825765185034 "CE" "Managed" 1 "Fungi"
"97" "GH0" 0.822921156895862 "GH" "Managed" 1 "Fungi"
"98" "GH0" 0.903819388785032 "GH" "Managed" 1 "Fungi"
"99" "GH0" 0.978547018521502 "GH" "Managed" 1 "Fungi"
"100" "GH0" 0.956228269715751 "GH" "Managed" 1 "Fungi"
"101" "GH0" 0.900313302819105 "GH" "Managed" 1 "Fungi"
"102" "GH0" 0.882717674411379 "GH" "Managed" 1 "Fungi"
"103" "GH0" 0.951467884483674 "GH" "Managed" 1 "Fungi"
"104" "GH0" 0.957044371790834 "GH" "Managed" 1 "Fungi"
"105" "GH0" 0.866840911828218 "GH" "Managed" 1 "Fungi"
"106" "GH0" 0.963745405730694 "GH" "Managed" 1 "Fungi"
"107" "GH0" 0.946391142380599 "GH" "Managed" 1 "Fungi"
"108" "GH0" 0.898482321913448 "GH" "Managed" 1 "Fungi"
"109" "GH0" 0.89510071215765 "GH" "Managed" 1 "Fungi"
"110" "GH0" 0.957985296023744 "GH" "Managed" 1 "Fungi"
"111" "GH0" 0.868244538795992 "GH" "Managed" 1 "Fungi"
"112" "GH0" 0.924739702226489 "GH" "Managed" 1 "Fungi"
"113" "GH0" 0.406933475893384 "GH" "Managed" 1 "Fungi"
"114" "GH0" 0.867091674947761 "GH" "Managed" 1 "Fungi"
"115" "GH0" 0.865917502784093 "GH" "Managed" 1 "Fungi"
"116" "GH0" 0.768551482626643 "GH" "Managed" 1 "Fungi"
"117" "GH0" 0.806334028533619 "GH" "Managed" 1 "Fungi"
"118" "GH0" 0.906370428078865 "GH" "Managed" 1 "Fungi"
"119" "GH0" 0.907564099472371 "GH" "Managed" 1 "Fungi"
"120" "GH0" 0.807752903178772 "GH" "Managed" 1 "Fungi"
"121" "GH132" 0.878013536166883 "GH" "Managed" 1 "Fungi"
"122" "GH132" 0.930885513388664 "GH" "Managed" 1 "Fungi"
"123" "GH132" 0.990694458947548 "GH" "Managed" 1 "Fungi"
"124" "GH132" 0.957058698977329 "GH" "Managed" 1 "Fungi"
"125" "GH132" 0.925729922201328 "GH" "Managed" 1 "Fungi"
