"shannon_bacteria" "Sample" "shannon_fungi" "cazyme_div_bacteria" "cazyme_div_fungi" "pcyc_div_bacteria" "pcyc_div_fungi" "ncyc_div_bacteria"
"1" 6.28076675812427 "Sample_001" 4.06336250281301 3.54651095403248 2.65716368192071 4.08588197404727 3.22184800052049 2.69064354034222
"2" 6.21376684011915 "Sample_002" 4.53059082698355 3.58370409580408 3.31668444065241 4.05438770459651 3.23316563295305 2.8228623112332
"3" 5.29817412812184 "Sample_003" 4.11731401856313 NA NA NA NA NA
"4" 5.84009554002848 "Sample_004" 4.20358338441084 NA NA NA NA NA
"5" 6.08658835559789 "Sample_005" 4.50588813296676 NA NA NA NA NA
"6" 6.25444916058575 "Sample_006" 3.97942020784512 NA NA NA NA NA
"7" 6.29396573692263 "Sample_007" 3.75361433958005 3.55175660959212 3.02558877650001 4.10524743527913 3.20778991807683 2.5736364633527
"8" 6.43882884008248 "Sample_008" 4.18882918133256 3.56676808863558 3.11205268958246 4.05853250342856 3.2245875209749 2.67403349758392
"9" 6.05586961316099 "Sample_009" 3.5161573261369 3.53475464507454 2.7614562197528 4.05307898323829 3.18497190418123 2.82708249510113
"10" 5.14008639246477 "Sample_010" 4.02354681888661 3.54333859344898 3.4508688842079 4.09046596425452 3.13265084821279 2.42386601945567
"11" 5.93105761305134 "Sample_011" 3.69767444682746 NA NA NA NA NA
"12" 6.46851936651305 "Sample_012" 2.6968133197607 NA NA NA NA NA
"13" 6.14119076328364 "Sample_013" 3.84555741826485 NA NA NA NA NA
"14" 6.30339925175721 "Sample_014" 3.81348173089338 NA NA NA NA NA
"15" 5.4118391554085 "Sample_015" 4.30574005532278 3.65995541721732 3.75632375789864 4.11843160973292 3.27697259888992 2.91847695307341
"16" 6.08716023275101 "Sample_016" 4.01250769060761 3.50310074855637 2.74267357445534 4.05408293902795 3.25842712048015 2.8414404832228
"17" 5.872237318819 "Sample_017" 4.13960168960584 3.49002582037439 3.35485421737028 4.0992389949702 3.26473891822775 2.58114201556649
"18" 5.33149100832026 "Sample_018" 3.01609270400197 3.63179574750145 3.19745702322717 4.04446127347025 3.20459556562157 2.79813874343791
"19" 4.5313288864841 "Sample_019" 3.61155299246847 NA NA NA NA NA
"20" 6.33735029816852 "Sample_020" 3.75292505207195 NA NA NA NA NA
"21" 6.08598363185632 "Sample_021" 2.42606003429459 NA NA NA NA NA
"22" 6.1147761823626 "Sample_022" 3.30090866293699 NA NA NA NA NA
"23" 5.4436003270656 "Sample_023" 3.79896112249196 NA NA NA NA NA
"24" 4.68555675328584 "Sample_024" 3.22955166359545 NA NA NA NA NA
"25" 5.98880176273129 "Sample_025" 3.90394185667732 NA NA NA NA NA
"26" 4.80683114554061 "Sample_026" 2.9515311731503 3.46756914888825 3.5835826131583 4.03666936139902 3.12025190783564 2.52852888283491
"27" 5.64888896549302 "Sample_027" 3.61105208372362 3.52794830614251 3.05349021580138 4.04637532056359 3.18219136398899 2.7856175706815
"28" 5.3948963278552 "Sample_028" 4.58205557849504 NA NA NA NA NA
"29" 4.81327974218666 "Sample_029" 2.61772649361646 NA NA NA NA NA
"30" 5.99134510077682 "Sample_030" NA NA NA NA NA NA
"31" 5.00059421535617 "Sample_031" 2.91039586089867 NA NA NA NA NA
"32" 6.25807321812731 "Sample_032" 3.37256570251343 NA NA NA NA NA
"33" 5.23578951974919 "Sample_033" 4.02699838207814 NA NA NA NA NA
"34" 6.10912800616659 "Sample_034" 3.55699217635598 NA NA NA NA NA
"35" 5.18953741324641 "Sample_035" 1.16390958864917 NA NA NA NA NA
"36" 6.55470909015555 "Sample_036" NA NA NA NA NA NA
"37" 4.55113594923205 "Sample_037" 1.93025297132011 NA NA NA NA NA
"38" 5.77921636379365 "Sample_038" 3.80930568812517 NA NA NA NA NA
"39" 5.8910978485669 "Sample_039" 3.59739604215633 NA NA NA NA NA
"40" 5.45719836099044 "Sample_040" 2.28758918373074 NA NA NA NA NA
"41" 6.2321348962551 "Sample_041" 3.61007077808489 NA NA NA NA NA
"42" 5.75423242772657 "Sample_042" 4.4672497154321 NA NA NA NA NA
"43" 5.49171548427965 "Sample_043" NA NA NA NA NA NA
"44" 5.64352944622947 "Sample_044" 4.61760416633301 NA NA NA NA NA
"45" 6.20474862134878 "Sample_045" 4.05932720233996 NA NA NA NA NA
"46" 6.2171912479328 "Sample_046" NA NA NA NA NA NA
"47" 5.68124316791173 "Sample_047" 4.13497639770546 NA NA NA NA NA
"48" 5.82840989956169 "Sample_048" 4.5784546468886 NA NA NA NA NA
"49" 5.43647506762016 "Sample_049" 3.56430742604457 3.50140549937042 3.51915686502356 4.06929522589741 3.25193648955269 2.42164970880347
"50" 6.00514548578882 "Sample_050" 3.5964488458183 3.54881231604569 2.86922884035819 4.02634561640134 3.1427864338448 2.69772806087833
"51" 5.47011221908127 "Sample_051" 3.96322602946418 NA NA NA NA NA
"52" 5.80899669213447 "Sample_052" 3.12193434493995 NA NA NA NA NA
"53" 5.58195772291017 "Sample_053" 3.85754055709208 3.51225895002689 3.2182534606396 4.05890942432204 3.26525337268582 2.55518953635636
"54" 5.71160280334579 "Sample_054" 3.05495283615783 3.44697338263325 2.56995472201324 4.01886249277112 3.17910965497349 2.96888674345451
"55" 5.43680542581852 "Sample_055" 3.78772523066261 3.49751495200884 3.33604331495425 4.08228777029131 3.12961608382015 2.44235359574495
"56" 6.0836124199094 "Sample_056" 4.10403044641707 3.4891757878613 2.56890144722954 4.03793649191757 3.14442753620112 2.87509925552708
"57" 5.89437111118568 "Sample_057" 4.43587410050081 3.54335418790163 3.18553161782825 4.07847238552964 3.10877928589172 2.48210532122767
"58" 5.38453454102724 "Sample_058" 2.62616478646723 3.41447426345515 2.69590667295119 4.03672590698755 3.15867254368686 2.63321290458901
"59" 5.22445224496422 "Sample_059" 4.02593797796393 NA NA NA NA NA
"60" 6.20170938486715 "Sample_060" 4.15806160569455 NA NA NA NA NA
